village_id,village_name,district,state,latitude,longitude,area_sq_km,avg_solar_irradiance_kwh_m2_day,annual_sun_hours,seasonal_solar_variation_percent,avg_temperature_c,rainfall_mm_year,cloud_cover_percent,population,households,estimated_annual_electricity_demand_kwh,agricultural_demand_kwh,public_facility_demand_kwh,grid_connected,grid_reliability_percent,avg_daily_power_hours,outage_hours_month,distance_to_grid_km,existing_solar_capacity_kw,existing_solar_project,solar_pumps_count,existing_solar_generation_kwh_year,recommended_capacity_kw,installation_cost_inr,maintenance_cost_inr_year,panel_efficiency_percent,system_efficiency_percent,expected_annual_generation_kwh,electricity_value_inr_kwh,degradation_rate_percent,project_lifetime_years,priority_score
V20011,Village_11,District_25,Gujarat,19.753187,71.529576,32.42,4.48,3061.0,22.04,21.85,1590.0,13.35,2232,423,1124107.0,409970.0,40194.0,True,68.78,11.84,38.94,6.52,70.67,False,7,92591.0,731.18,52005801.0,1522502.0,16.44,91.33,897595.0,8.54,0.92,24,45.17
V20012,Village_12,District_24,Andhra Pradesh,32.357525,84.169337,42.85,4.98,2831.0,12.47,19.99,592.0,36.04,38996,7311,22657041.0,4855372.0,1619193.0,True,83.19,17.67,34.74,7.7,69.06,True,14,121042.0,1000.0,69917153.0,1979066.0,19.1,77.79,1350359.0,7.71,0.76,21,56.56
V20013,Village_13,District_22,Tamil Nadu,27.793817,78.181339,32.27,6.02,2942.0,23.57,27.86,372.0,52.45,4931,1370,2388852.0,1028893.0,117678.0,True,68.98,18.48,65.65,13.22,8.77,True,11,15188.0,1000.0,61910117.0,689262.0,21.21,84.98,1980235.0,7.45,0.8,22,65.46
V20014,Village_14,District_28,Tamil Nadu,29.068944,69.463022,40.95,5.71,2854.0,9.86,33.53,648.0,41.38,43919,8794,24774173.0,6735763.0,1698931.0,False,0.0,3.33,63.71,14.79,113.09,False,13,168220.0,1000.0,65842964.0,1785117.0,19.94,79.31,1647981.0,7.93,0.41,24,85.06
V20015,Village_15,District_22,Bihar,34.439318,92.600156,40.39,5.34,3011.0,14.58,19.68,408.0,46.51,34998,6661,22084176.0,6636234.0,1467846.0,False,0.0,8.25,211.07,34.12,56.54,False,11,87989.0,1000.0,70192619.0,1128675.0,22.61,79.77,1757698.0,4.72,0.59,21,80.27
V20016,Village_16,District_6,Gujarat,30.353693,87.811644,38.08,4.67,2730.0,15.94,21.51,1395.0,38.34,3587,991,1960024.0,860971.0,83849.0,True,87.55,11.06,68.94,12.89,32.0,False,2,57094.0,1000.0,58248340.0,2005350.0,18.9,80.89,1302976.0,6.61,0.93,23,45.39
V20017,Village_17,District_26,Karnataka,29.04876,68.406283,48.63,4.92,3093.0,30.17,33.44,459.0,31.17,23079,4658,13905426.0,3714173.0,1036678.0,True,97.58,9.31,48.32,13.99,27.05,False,8,46760.0,1000.0,65896764.0,1566274.0,16.83,75.17,1135943.0,5.96,0.34,23,50.64
V20018,Village_18,District_20,Karnataka,24.214695,72.044339,35.49,5.42,2715.0,15.28,31.52,1685.0,49.35,27284,6700,15257416.0,3013385.0,995178.0,True,73.58,22.01,58.31,6.12,16.4,False,9,24127.0,1000.0,70984797.0,2556432.0,22.42,82.98,1840226.0,7.22,0.81,22,62.71
V20019,Village_19,District_3,Andhra Pradesh,32.133776,96.740979,40.92,4.71,2947.0,22.18,27.61,809.0,43.42,25409,4774,10591063.0,4298235.0,791360.0,True,85.5,16.39,67.55,7.29,99.29,False,7,149755.0,1000.0,52582231.0,1257204.0,18.87,88.7,1438730.0,7.6,0.56,21,52.56
V20020,Village_20,District_9,Gujarat,8.070649,96.578189,24.92,5.23,2894.0,19.1,31.5,1130.0,58.16,10262,2357,4240694.0,795952.0,180974.0,True,69.3,11.65,63.64,6.85,96.23,False,2,157449.0,1000.0,55551601.0,1689928.0,22.85,75.44,1645328.0,6.18,0.71,25,58.12
V20021,Village_21,District_5,Rajasthan,15.802056,72.069951,19.81,5.83,2681.0,6.72,24.61,1636.0,43.56,16579,3876,9388166.0,3624321.0,1085497.0,False,0.0,10.71,78.02,19.95,115.91,False,7,147012.0,1000.0,63816563.0,1068349.0,23.37,88.18,2192604.0,6.23,0.34,20,83.5
V20022,Village_22,District_30,Andhra Pradesh,14.67078,85.119706,9.09,5.43,2366.0,34.84,28.95,553.0,43.24,28547,5753,16302102.0,7784157.0,582060.0,True,75.04,20.63,2.01,4.43,49.71,False,18,74474.0,1000.0,63991275.0,2175518.0,20.16,87.19,1741887.0,7.59,0.7,25,62.64
V20023,Village_23,District_22,Telangana,29.68047,81.118903,49.39,5.2,2402.0,24.16,25.37,1553.0,48.59,16417,4319,8954482.0,4723383.0,1028482.0,True,97.51,15.34,24.27,1.43,80.59,True,5,104288.0,1000.0,67182490.0,1579183.0,21.87,75.57,1568427.0,6.35,0.32,24,52.58
V20024,Village_24,District_28,Karnataka,8.312487,79.455824,42.77,6.26,2871.0,10.53,27.9,1455.0,39.21,4599,984,2954843.0,1058705.0,102298.0,True,95.94,16.45,56.35,14.49,95.09,True,1,123962.0,1000.0,63729298.0,1636110.0,21.56,85.54,2106955.0,5.02,0.57,25,58.83
V20025,Village_25,District_9,Madhya Pradesh,34.261978,72.421047,17.65,5.93,2600.0,30.64,18.1,1047.0,48.84,37129,9004,19763387.0,6196373.0,1551377.0,True,81.39,10.71,16.7,0.65,115.2,True,5,148321.0,1000.0,54540500.0,1324197.0,19.77,75.27,1610446.0,8.6,0.83,24,66.89
V20026,Village_26,District_20,Bihar,13.851721,77.924391,51.6,5.61,2608.0,9.02,29.46,783.0,43.69,16896,3743,6574129.0,2862333.0,198776.0,True,94.13,16.87,17.73,10.18,143.67,False,19,186762.0,1000.0,45116561.0,851087.0,17.02,85.26,1485698.0,5.77,0.42,20,57.24
V20027,Village_27,District_19,Bihar,22.25698,87.827588,20.04,5.83,2612.0,8.19,28.62,1774.0,55.47,14200,2722,5320611.0,1726593.0,335899.0,True,97.35,18.61,22.38,5.76,32.63,False,17,42246.0,1000.0,45257512.0,1321386.0,22.6,83.23,2001335.0,5.62,0.71,20,59.34
V20028,Village_28,District_23,Gujarat,10.192991,68.694806,36.47,6.11,3156.0,14.08,30.14,502.0,52.72,29917,7097,12959688.0,2811698.0,467958.0,True,88.79,18.58,43.14,13.05,142.16,True,2,222997.0,1000.0,58562430.0,1825284.0,21.13,82.45,1942649.0,7.28,0.77,25,65.71
V20029,Village_29,District_4,Madhya Pradesh,11.769172,83.046684,34.46,6.05,2459.0,30.89,32.43,1370.0,31.65,18489,3537,9373315.0,4027378.0,424276.0,True,67.56,19.8,15.01,10.95,121.14,True,5,166364.0,1000.0,46532730.0,1263790.0,19.48,75.8,1630333.0,8.79,0.82,20,69.81
V20030,Village_30,District_16,Maharashtra,15.52351,70.833348,47.76,4.51,2945.0,25.92,28.41,664.0,11.68,24167,5472,14319513.0,6634974.0,456654.0,True,66.12,12.53,50.9,13.91,49.34,True,16,61733.0,1000.0,70250521.0,2295415.0,18.59,88.98,1361480.0,5.01,0.41,20,54.62
V20031,Village_31,District_20,Telangana,26.829065,96.388723,11.84,5.52,2373.0,10.61,24.07,396.0,50.77,32280,7083,12188456.0,4060903.0,925109.0,True,87.91,19.3,17.54,12.57,84.89,True,4,111773.0,1000.0,70412154.0,1858365.0,23.03,77.79,1804761.0,8.57,0.38,22,60.59
V20032,Village_32,District_25,Gujarat,8.952076,80.869082,31.71,5.79,2673.0,18.55,30.07,1252.0,28.66,37017,6999,15636192.0,5261103.0,668865.0,True,71.93,10.47,78.19,11.02,138.78,True,18,204695.0,1000.0,45731404.0,651762.0,23.43,79.68,1972709.0,7.89,0.3,22,68.59
V20033,Village_33,District_20,Maharashtra,28.952445,78.960839,51.39,4.34,2511.0,10.9,25.5,530.0,53.99,333,63,217285.0,61589.0,18628.0,False,0.0,11.2,95.22,8.55,4.38,False,0,6640.0,152.58,8141288.0,130711.0,22.34,81.69,220548.0,5.13,0.8,22,57.78
V20034,Village_34,District_14,Rajasthan,19.679219,80.145795,39.58,4.77,2338.0,20.83,33.94,561.0,49.03,18123,4367,9223804.0,5000828.0,764218.0,True,78.43,12.2,43.59,2.58,84.59,False,9,113870.0,1000.0,74505860.0,809180.0,23.05,90.92,1824364.0,5.22,0.56,25,53.31
V20035,Village_35,District_14,Rajasthan,19.793506,68.852285,4.03,5.6,2801.0,5.73,23.98,1194.0,22.15,33623,9456,12288748.0,4966456.0,1168446.0,False,0.0,7.84,66.67,29.39,118.72,False,0,174008.0,1000.0,56742363.0,1154007.0,23.67,78.32,1894619.0,8.41,0.49,24,83.87
V20036,Village_36,District_11,Madhya Pradesh,19.101719,91.859073,57.84,5.29,2490.0,34.13,28.58,496.0,36.09,38751,8215,21456715.0,11016277.0,1632468.0,True,94.93,14.75,27.06,5.22,144.9,True,15,186284.0,1000.0,57543902.0,2127655.0,17.08,75.25,1240832.0,6.81,0.85,21,56.42
V20037,Village_37,District_5,Rajasthan,8.974065,79.106142,23.18,4.47,2922.0,18.45,34.39,732.0,42.12,40125,7297,20226879.0,5103032.0,1007166.0,True,99.22,9.07,9.37,10.55,16.66,True,5,20008.0,1000.0,54884309.0,1979503.0,19.17,75.15,1175226.0,6.56,0.82,23,47.83
V20038,Village_38,District_9,Rajasthan,20.495055,81.335466,34.43,5.83,2754.0,26.62,24.96,1073.0,28.05,27261,7602,15898278.0,6214340.0,1628249.0,True,85.23,23.75,44.16,7.89,132.33,False,19,177888.0,1000.0,73191885.0,1379951.0,19.55,86.69,1803214.0,5.68,0.32,20,62.93
V20039,Village_39,District_5,Maharashtra,33.054006,77.249999,10.86,5.02,2382.0,31.95,28.77,1127.0,11.22,23818,5908,10897021.0,3820575.0,1179158.0,True,70.04,10.63,30.91,14.55,61.92,True,14,87756.0,1000.0,68467029.0,1944834.0,19.78,82.03,1486502.0,4.88,0.41,21,58.42
V20040,Village_40,District_7,Madhya Pradesh,25.681497,92.9039,21.58,6.34,2752.0,17.87,21.89,246.0,12.34,19346,4098,10460398.0,3676327.0,933152.0,True,66.19,15.49,34.94,2.16,30.47,False,15,46374.0,1000.0,65215990.0,1993182.0,19.63,88.75,2015769.0,6.68,0.82,25,72.51
V20041,Village_41,District_26,Karnataka,23.125065,91.354787,44.06,6.26,2427.0,16.07,23.66,1105.0,45.84,25060,6120,12883789.0,5161496.0,698073.0,True,84.54,12.28,27.5,0.65,1.13,False,17,1765.0,1000.0,65408589.0,2446771.0,18.48,91.63,1934536.0,5.95,0.66,24,67.68
V20042,Village_42,District_16,Tamil Nadu,24.248327,81.555621,28.15,6.28,2437.0,21.07,25.42,380.0,30.26,41583,9001,25643497.0,6163914.0,2716378.0,True,94.44,14.17,31.31,2.71,58.09,False,6,100248.0,1000.0,71900161.0,2095249.0,23.44,89.37,2400888.0,8.2,0.38,21,67.56
V20043,Village_43,District_3,Bihar,17.998654,89.954884,41.68,6.02,2402.0,30.76,33.8,1621.0,18.31,38494,7122,24875915.0,11804485.0,2108249.0,True,95.16,23.21,21.64,0.39,8.88,False,11,13400.0,1000.0,65057146.0,2320977.0,23.12,76.84,1951797.0,4.67,0.98,22,63.51
V20044,Village_44,District_13,Karnataka,11.045911,96.490132,11.47,5.55,3072.0,5.77,25.54,1360.0,43.76,15036,3457,6511962.0,2330345.0,452491.0,True,72.34,8.29,79.07,2.01,136.11,False,0,197213.0,1000.0,54014755.0,1513772.0,18.46,80.1,1497684.0,7.79,0.51,24,61.98
V20045,Village_45,District_9,Uttar Pradesh,25.832959,76.013584,10.57,4.67,3233.0,12.81,20.04,1274.0,53.51,37185,7713,21160285.0,6539234.0,1233483.0,True,79.65,8.09,71.97,14.24,97.93,False,16,119208.0,1000.0,47720195.0,717617.0,18.24,87.0,1352458.0,7.38,0.65,20,54.97
V20046,Village_46,District_20,Rajasthan,12.433773,78.481932,3.81,6.37,2434.0,17.43,20.68,1359.0,39.75,29509,6149,15499477.0,8240909.0,1152439.0,True,70.72,9.89,16.84,13.76,114.72,False,4,153242.0,1000.0,61151387.0,1743306.0,19.31,79.26,1779257.0,6.16,0.83,24,72.32
V20047,Village_47,District_25,Gujarat,31.943705,87.034031,8.01,6.3,2460.0,24.55,18.16,618.0,38.85,9392,2151,3896657.0,1802609.0,223763.0,True,75.32,10.05,37.22,3.55,21.95,False,6,34139.0,1000.0,54510243.0,1524521.0,17.94,86.44,1782956.0,8.81,0.98,21,68.59
V20048,Village_48,District_1,Gujarat,31.452792,79.513694,5.9,5.0,3121.0,12.67,21.62,358.0,57.69,34887,8320,14276280.0,6017176.0,1433195.0,True,78.56,18.78,55.33,3.63,13.14,True,14,22372.0,1000.0,55622524.0,1850730.0,23.29,89.56,1903340.0,7.31,0.49,25,58.72
V20049,Village_49,District_14,Andhra Pradesh,10.276947,94.143706,18.44,5.17,2807.0,29.38,20.25,414.0,26.15,27647,7082,16550841.0,5565929.0,716809.0,True,73.85,18.74,35.7,2.68,111.26,True,6,176160.0,1000.0,53512501.0,1920660.0,17.85,76.96,1296154.0,7.78,0.5,24,59.99
V20050,Village_50,District_14,Rajasthan,11.851814,82.793712,16.51,6.25,2355.0,9.8,28.79,564.0,12.46,34934,7781,11926845.0,5671811.0,457775.0,True,69.08,19.07,69.21,11.8,5.89,False,17,7172.0,1000.0,53237738.0,698883.0,18.79,77.97,1671080.0,5.28,0.36,22,72.25
V20051,Village_51,District_30,Maharashtra,28.531303,69.660017,17.97,4.7,2730.0,23.09,20.24,335.0,22.74,42339,9904,21917305.0,10062513.0,1599959.0,False,0.0,5.72,219.77,23.24,25.96,False,15,37950.0,1000.0,74400429.0,2898318.0,16.99,82.38,1200538.0,7.36,0.37,24,74.73
V20052,Village_52,District_11,Andhra Pradesh,29.934501,95.165204,28.52,4.57,2374.0,25.31,28.48,1556.0,30.19,40679,9469,18413367.0,9559712.0,1852910.0,True,70.14,23.41,42.43,3.38,85.76,False,15,118232.0,1000.0,60334192.0,2390440.0,18.0,86.32,1295875.0,6.31,0.93,23,55.85
V20053,Village_53,District_5,Madhya Pradesh,33.982611,74.571358,30.48,4.58,2999.0,20.45,27.97,630.0,41.88,13301,3601,6778502.0,3478341.0,225011.0,True,74.01,8.13,9.13,7.76,95.28,False,11,139839.0,1000.0,53090483.0,1108413.0,23.94,82.4,1648845.0,5.04,0.73,23,51.77
V20054,Village_54,District_6,Madhya Pradesh,28.264061,71.163645,2.35,4.49,3108.0,24.31,20.28,1283.0,36.29,40465,9745,20120633.0,5388316.0,1110545.0,True,79.26,9.42,35.99,13.38,40.69,False,0,61128.0,1000.0,66746041.0,1049063.0,22.26,89.26,1628138.0,6.91,0.65,23,53.27
V20055,Village_55,District_15,Karnataka,20.568359,86.504572,54.39,4.8,2524.0,8.54,28.76,1135.0,50.27,35583,8909,14216456.0,4186877.0,1474267.0,True,88.68,16.17,25.79,10.96,94.91,False,13,137563.0,1000.0,58861833.0,1971057.0,22.37,86.35,1692125.0,8.96,0.61,20,54.13
V20056,Village_56,District_18,Uttar Pradesh,16.734765,95.00152,2.61,5.81,3011.0,25.99,22.58,1610.0,32.79,18367,3939,9320065.0,3384348.0,551198.0,True,76.76,13.54,2.53,1.48,86.13,True,6,104557.0,1000.0,73729857.0,2300643.0,22.27,87.78,2072788.0,7.15,0.45,24,64.39
V20057,Village_57,District_10,Madhya Pradesh,11.863606,71.374733,54.81,4.55,2744.0,7.72,34.74,358.0,56.07,21326,4829,8126435.0,3692205.0,971738.0,True,69.18,23.87,79.64,2.14,109.77,False,0,171977.0,1000.0,45604709.0,560397.0,20.49,78.15,1329674.0,7.26,0.41,22,54.47
V20058,Village_58,District_14,Maharashtra,15.19803,90.405514,4.45,4.59,2405.0,5.15,20.3,630.0,49.93,25515,6039,14706623.0,6292850.0,1680582.0,True,76.37,12.48,15.56,6.12,46.81,True,2,73721.0,1000.0,69815340.0,2762003.0,20.22,75.99,1287103.0,8.08,0.88,22,53.43
V20059,Village_59,District_20,Bihar,29.709972,72.424404,50.35,4.65,2960.0,31.36,22.84,761.0,29.27,5003,975,2984570.0,981498.0,208779.0,True,71.39,13.74,5.12,3.86,16.92,False,8,29474.0,1000.0,57385546.0,2141241.0,21.76,86.39,1595285.0,6.46,0.4,24,51.09
V20060,Village_60,District_9,Telangana,33.961976,82.652036,54.32,6.12,2268.0,12.89,24.3,463.0,33.0,15743,4026,6178866.0,2565415.0,531900.0,True,66.67,11.45,10.88,5.87,119.74,False,11,196966.0,1000.0,56863077.0,1121546.0,22.22,87.45,2170292.0,4.94,0.58,22,68.64
V20061,Village_61,District_29,Maharashtra,23.700402,72.886064,33.82,5.8,2508.0,10.14,20.57,1017.0,33.76,2274,470,1268903.0,226109.0,77541.0,True,71.11,12.9,53.57,11.83,84.49,False,2,118858.0,1000.0,72867091.0,809761.0,21.05,84.59,1884786.0,5.36,0.97,25,56.75
V20062,Village_62,District_7,Telangana,17.210268,84.793131,36.59,4.37,2203.0,14.6,32.93,1112.0,20.64,21151,5380,10584959.0,4845547.0,837034.0,False,0.0,8.49,109.68,4.48,46.98,False,3,62843.0,1000.0,64529970.0,1216776.0,18.68,89.76,1337224.0,5.65,0.51,22,69.62
V20063,Village_63,District_29,Maharashtra,10.389771,96.240885,1.12,6.36,2757.0,23.96,31.68,1286.0,46.28,5362,1356,3093315.0,650951.0,311445.0,True,68.57,22.67,49.55,9.03,68.21,True,8,97944.0,1000.0,49218385.0,637228.0,22.62,88.36,2319895.0,7.78,0.64,24,69.39
V20064,Village_64,District_27,Andhra Pradesh,28.843602,81.072644,21.88,5.94,2244.0,23.87,19.97,1228.0,45.24,3962,878,2028833.0,361271.0,230436.0,True,95.14,19.01,2.88,4.35,148.81,False,4,179284.0,1000.0,55676155.0,1048018.0,23.72,79.99,2056836.0,7.97,0.37,25,55.24
V20065,Village_65,District_29,Rajasthan,10.342478,71.278797,30.29,4.58,3099.0,23.48,29.5,793.0,53.52,18241,4594,11560189.0,4903506.0,368976.0,True,98.61,21.97,9.19,0.39,118.81,False,6,173657.0,1000.0,74831136.0,1217577.0,16.6,89.64,1243765.0,7.74,0.43,22,46.38
V20066,Village_66,District_24,Tamil Nadu,15.655322,92.141893,3.45,5.61,2738.0,17.0,27.88,1767.0,29.85,20298,4559,9238926.0,1829798.0,458835.0,True,81.08,22.99,72.15,6.76,73.02,False,14,101541.0,1000.0,64417573.0,1091708.0,19.12,76.59,1499290.0,6.36,0.35,23,61.18
V20067,Village_67,District_16,Andhra Pradesh,14.751962,72.019005,54.9,6.09,3270.0,24.39,29.47,503.0,24.39,35247,7003,13171131.0,3586723.0,1124278.0,True,96.49,23.02,59.62,9.67,86.29,False,6,128865.0,1000.0,49182297.0,1469868.0,22.05,91.26,2236502.0,8.9,0.56,24,65.87
V20068,Village_68,District_19,Maharashtra,22.089737,68.430843,7.29,6.18,2379.0,28.41,31.78,474.0,48.61,6545,1806,2703214.0,1005352.0,147868.0,True,90.4,19.01,28.56,7.18,32.05,False,12,57270.0,1000.0,72345386.0,2277823.0,19.36,88.38,1929793.0,6.71,0.86,20,61.23
V20069,Village_69,District_7,Karnataka,10.253338,82.285104,23.03,5.51,2575.0,15.11,28.01,1469.0,12.77,25977,6095,14424005.0,2485968.0,735719.0,True,86.13,8.25,43.1,5.55,66.21,True,3,83256.0,1000.0,45542082.0,1403209.0,21.14,90.21,1917671.0,7.25,0.97,20,61.31
V20070,Village_70,District_11,Rajasthan,14.500892,71.234343,15.15,5.94,2488.0,26.53,22.85,141.0,36.06,12522,2802,4902484.0,902918.0,431688.0,True,76.54,14.74,4.55,12.99,132.04,True,4,234993.0,1000.0,58886810.0,1984317.0,17.81,81.18,1567337.0,4.81,0.8,24,62.68
V20071,Village_71,District_14,Gujarat,33.380252,90.149781,2.95,5.24,2393.0,10.36,24.57,1162.0,51.28,9120,2295,4494886.0,1710803.0,209440.0,True,74.07,20.08,28.64,2.24,13.87,True,10,16869.0,1000.0,46096763.0,1080693.0,22.91,77.96,1708013.0,4.95,0.94,25,57.9
V20072,Village_72,District_29,Rajasthan,30.307241,83.664449,18.78,5.93,3233.0,24.75,32.82,1451.0,38.03,30963,8206,17867243.0,8562843.0,665634.0,True,80.48,12.56,31.36,13.67,81.43,False,8,144692.0,1000.0,53004904.0,1287851.0,20.17,89.08,1944481.0,6.94,0.48,22,66.62
V20073,Village_73,District_24,Uttar Pradesh,14.273352,72.271531,30.46,5.91,3197.0,7.19,29.22,239.0,49.16,21795,4504,13355673.0,6617706.0,881299.0,False,0.0,3.57,109.38,9.72,38.13,False,8,65392.0,1000.0,65117227.0,1156227.0,21.12,78.12,1779535.0,6.97,0.56,20,85.13
V20074,Village_74,District_17,Tamil Nadu,31.370312,96.271125,40.98,6.23,3045.0,21.17,25.3,729.0,58.84,42477,9922,26401335.0,5824723.0,2931060.0,True,96.09,8.36,22.53,1.95,124.68,False,10,218509.0,1000.0,58088737.0,743726.0,21.51,84.66,2070473.0,5.63,0.42,22,65.9
V20075,Village_75,District_18,Gujarat,9.061955,92.807069,23.78,5.38,3253.0,6.87,26.48,108.0,41.7,40058,7602,14488390.0,7361586.0,936665.0,True,73.74,21.44,57.47,14.1,95.55,False,2,131319.0,1000.0,47558719.0,1256181.0,19.73,85.76,1661334.0,4.95,0.99,24,62.91
V20076,Village_76,District_13,Uttar Pradesh,32.482047,74.803577,2.43,4.89,2509.0,7.02,20.42,1250.0,46.27,27178,4960,13225113.0,2353798.0,538107.0,True,72.96,19.3,23.45,11.5,46.81,False,12,80122.0,1000.0,57967354.0,934749.0,17.15,85.48,1308279.0,6.04,0.43,22,57.18
V20077,Village_77,District_13,Maharashtra,26.902947,96.613747,38.56,5.44,3089.0,20.26,26.61,1337.0,19.29,44200,12500,24444345.0,6455456.0,2195805.0,True,90.3,15.41,75.03,13.21,58.76,False,11,91284.0,1000.0,53367331.0,1630128.0,23.85,82.29,1948486.0,5.55,0.83,21,60.07
V20078,Village_78,District_28,Madhya Pradesh,15.669744,71.433405,35.61,4.4,2801.0,14.17,24.04,1169.0,10.17,35424,7257,22800639.0,6624659.0,1415810.0,True,80.31,23.34,57.98,14.38,103.47,False,4,157848.0,1000.0,46022036.0,1668565.0,17.91,85.08,1223598.0,6.96,0.73,24,51.79
V20079,Village_79,District_1,Uttar Pradesh,13.348626,72.161908,26.32,5.14,3202.0,30.58,28.4,406.0,57.85,2859,754,1773270.0,316044.0,145035.0,False,0.0,3.17,218.03,21.65,32.79,False,2,51783.0,1000.0,56303319.0,1829709.0,22.15,90.39,1878106.0,8.32,0.7,20,72.42
V20080,Village_80,District_10,Uttar Pradesh,19.279127,72.026961,40.23,4.91,2762.0,29.7,18.67,1478.0,56.78,31965,5926,10651608.0,5656246.0,1249061.0,False,0.0,8.59,240.14,3.83,54.84,False,14,75895.0,1000.0,59461519.0,2019829.0,20.46,82.18,1506663.0,6.28,0.86,24,76.2
V20081,Village_81,District_13,Bihar,16.442913,89.43534,57.43,5.93,3038.0,31.79,22.58,852.0,59.32,42072,11775,19908610.0,10163808.0,1512023.0,True,76.57,23.35,5.21,8.96,1.26,False,12,1650.0,1000.0,45736419.0,561724.0,21.94,83.8,1989749.0,7.07,0.83,20,69.24
V20082,Village_82,District_21,Maharashtra,33.02934,70.236304,5.29,4.8,2302.0,13.44,22.1,1282.0,17.0,44043,8116,27082127.0,5530859.0,2687245.0,True,85.1,21.96,34.22,4.85,138.46,True,2,189832.0,1000.0,60455122.0,2146278.0,17.87,89.71,1404331.0,4.82,0.66,24,54.27
V20083,Village_83,District_13,Andhra Pradesh,21.431551,87.868223,49.82,5.68,2323.0,29.93,22.15,932.0,24.86,19010,4936,8902769.0,1389203.0,588487.0,True,68.51,21.18,11.61,6.77,100.36,True,17,171061.0,1000.0,49343102.0,532314.0,16.31,75.59,1277996.0,5.31,0.76,24,64.44
