village_id,village_name,district,state,latitude,longitude,area_sq_km,avg_solar_irradiance_kwh_m2_day,annual_sun_hours,seasonal_solar_variation_percent,avg_temperature_c,rainfall_mm_year,cloud_cover_percent,population,households,estimated_annual_electricity_demand_kwh,agricultural_demand_kwh,public_facility_demand_kwh,grid_connected,grid_reliability_percent,avg_daily_power_hours,outage_hours_month,distance_to_grid_km,existing_solar_capacity_kw,existing_solar_project,solar_pumps_count,existing_solar_generation_kwh_year,recommended_capacity_kw,installation_cost_inr,maintenance_cost_inr_year,panel_efficiency_percent,system_efficiency_percent,expected_annual_generation_kwh,electricity_value_inr_kwh,degradation_rate_percent,project_lifetime_years
V10020,Village_20,District_27,Andhra Pradesh,30.014072,80.726953,15.47,4.8,3053.0,9.86,25.38,627.0,10.47,17951,3281,9495445.0,3550056.0,872213.0,True,84.32,21.4,23.88,1.02,7.6,True,14,13420.0,1000.0,46081486.0,1198341.0,23.22,87.15,1772694.0,6.2,0.95,22
V10021,Village_21,District_1,Andhra Pradesh,20.833427,79.374167,31.94,6.35,2314.0,24.32,21.43,128.0,44.7,7697,1452,3454126.0,570828.0,231043.0,True,77.28,11.45,24.62,11.72,34.41,True,7,59919.0,1000.0,73228295.0,770129.0,22.9,89.55,2376499.0,5.66,0.42,25
V10022,Village_22,District_16,Andhra Pradesh,16.435215,78.14002,59.4,6.38,3097.0,12.68,31.09,352.0,39.07,24517,5730,9421132.0,5011664.0,411757.0,True,95.86,20.75,43.94,8.76,138.91,True,7,169516.0,1000.0,69327254.0,1824676.0,20.45,89.99,2142748.0,5.16,0.42,20
V10023,Village_23,District_9,Tamil Nadu,17.547092,75.507443,3.07,4.46,2347.0,33.49,31.38,1632.0,12.68,15946,2927,8847131.0,4310016.0,615679.0,True,84.87,22.62,52.97,1.52,22.61,False,4,29116.0,1000.0,57000690.0,2146132.0,18.15,89.84,1327224.0,7.34,0.66,20
V10024,Village_24,District_8,Tamil Nadu,15.348372,94.682087,49.34,4.53,2883.0,9.33,21.54,112.0,27.65,21458,4719,12270090.0,3005424.0,538696.0,True,66.55,18.17,19.72,13.89,91.42,False,15,137838.0,1000.0,66798433.0,1213018.0,18.5,88.7,1356614.0,7.1,0.49,20
V10025,Village_25,District_8,Telangana,28.845732,80.404051,20.64,6.38,2930.0,11.07,29.11,1290.0,44.19,16535,3088,7916279.0,2148067.0,910372.0,True,92.44,12.64,42.49,11.62,67.44,False,6,114075.0,1000.0,70539771.0,1743484.0,21.77,80.92,2051152.0,4.57,0.99,21
V10026,Village_26,District_25,Maharashtra,10.975841,68.9388,57.02,5.16,2695.0,25.8,24.09,580.0,55.25,42516,10187,16727522.0,3328186.0,1230594.0,True,70.58,21.37,1.14,9.8,143.35,False,6,175809.0,1000.0,67210048.0,2258612.0,19.76,77.79,1447516.0,4.76,0.84,25
V10027,Village_27,District_24,Maharashtra,24.106881,82.506393,32.71,5.95,2200.0,21.33,34.51,1553.0,37.97,26501,6350,11400875.0,1721016.0,1188227.0,True,90.17,21.11,70.25,14.27,126.8,False,3,175015.0,1000.0,54589151.0,547424.0,17.54,85.15,1621788.0,9.0,0.37,24
V10028,Village_28,District_7,Maharashtra,26.590811,94.966355,20.06,6.27,3282.0,32.39,18.85,368.0,48.88,10512,2211,5053484.0,1447378.0,551280.0,True,84.9,9.22,3.46,2.6,75.71,False,16,98566.0,1000.0,48283601.0,529687.0,17.28,90.72,1793813.0,5.05,0.4,21
V10029,Village_29,District_13,Uttar Pradesh,25.587256,76.037824,35.71,4.95,3183.0,17.86,32.43,1299.0,17.96,18825,4782,7178020.0,3829076.0,315982.0,True,87.29,18.29,60.64,2.68,90.04,False,9,115995.0,1000.0,45138929.0,1050689.0,20.55,78.36,1454703.0,5.57,0.68,25
V10030,Village_30,District_23,Karnataka,13.179598,95.88011,58.91,5.77,2541.0,5.35,18.75,1474.0,44.95,32981,8169,14755471.0,4690584.0,987408.0,False,0.0,2.49,248.07,9.5,110.18,True,10,197357.0,1000.0,62862950.0,1639538.0,22.22,88.92,2080569.0,6.47,0.51,20
V10031,Village_31,District_5,Gujarat,9.059831,76.396812,32.62,5.14,2894.0,18.12,27.16,1205.0,11.68,29150,6686,10011205.0,4970886.0,518273.0,True,66.47,11.14,35.86,7.77,21.13,False,4,37004.0,1000.0,55387640.0,2006754.0,16.92,77.06,1223081.0,6.48,0.67,25
V10032,Village_32,District_19,Telangana,33.99326,72.355809,4.54,5.36,3255.0,31.56,28.52,442.0,33.97,21049,4677,9847617.0,1987946.0,1144710.0,True,89.21,16.85,75.7,10.64,105.54,False,0,156564.0,1000.0,72544471.0,1735560.0,18.22,90.6,1614746.0,7.98,0.35,22
V10033,Village_33,District_14,Telangana,13.108235,74.218151,6.76,4.97,2354.0,18.66,29.07,557.0,43.86,6610,1416,3407106.0,695354.0,255757.0,True,89.23,23.33,51.14,2.94,12.98,False,19,20114.0,1000.0,47957007.0,1878724.0,21.37,88.56,1716569.0,5.65,0.55,23
V10034,Village_34,District_28,Telangana,32.586996,68.434615,26.08,4.44,3126.0,14.82,18.84,191.0,23.8,27811,5781,10060315.0,4589891.0,466040.0,True,65.3,11.65,47.84,10.07,68.18,True,17,115951.0,1000.0,73605711.0,1992976.0,23.24,83.49,1572231.0,6.32,0.38,23
V10035,Village_35,District_23,Rajasthan,12.584497,84.649038,52.68,4.64,2459.0,5.41,29.78,1279.0,34.96,21239,5524,11087930.0,3567731.0,998356.0,True,67.76,9.81,44.19,13.68,128.25,True,8,215876.0,1000.0,62674812.0,719670.0,18.92,87.65,1404281.0,5.43,0.56,23
V10036,Village_36,District_7,Andhra Pradesh,26.839269,84.311894,36.15,4.74,2459.0,12.46,20.27,1336.0,35.94,20866,4143,8406019.0,1890919.0,421146.0,False,0.0,2.2,148.4,2.46,0.89,False,11,1269.0,1000.0,53782146.0,972074.0,19.17,79.1,1311716.0,4.83,0.53,20
V10037,Village_37,District_26,Maharashtra,30.434655,86.301807,27.57,5.46,2566.0,22.56,24.72,330.0,16.08,17977,3970,11137873.0,5326323.0,1058412.0,True,93.35,18.37,58.65,1.34,81.7,True,9,98062.0,1000.0,52691648.0,1712080.0,18.22,80.54,1462229.0,4.64,0.82,24
V10038,Village_38,District_24,Bihar,21.090247,90.206399,7.67,6.37,2708.0,21.14,25.28,1414.0,11.41,17080,3260,5909682.0,2385849.0,653520.0,False,0.0,10.1,92.94,14.02,145.86,False,11,210048.0,1000.0,55348067.0,1761509.0,20.24,79.93,1880713.0,8.6,0.34,24
V10039,Village_39,District_7,Telangana,25.135108,93.042537,4.44,5.46,3079.0,21.21,22.61,1304.0,13.24,28524,5405,16169793.0,3472781.0,794068.0,False,0.0,5.84,180.01,4.89,117.28,False,9,157333.0,1000.0,62836593.0,1054142.0,20.41,84.0,1708354.0,5.72,0.66,21
V10040,Village_40,District_16,Tamil Nadu,31.297344,84.309047,36.53,4.51,2354.0,11.46,31.77,192.0,18.3,3610,821,1912564.0,722506.0,139157.0,True,70.18,23.28,1.7,7.94,62.95,False,6,86880.0,1000.0,53227490.0,908163.0,21.61,80.57,1433070.0,7.66,0.93,22
V10041,Village_41,District_24,Andhra Pradesh,31.556059,96.979667,32.52,4.73,2788.0,32.06,25.28,1724.0,20.36,3930,886,1860527.0,355640.0,124293.0,True,82.15,11.46,68.39,3.99,23.85,False,1,38844.0,1000.0,62990142.0,1294726.0,19.8,83.71,1430759.0,5.46,0.99,23
V10042,Village_42,District_7,Bihar,31.258377,70.252939,30.96,5.38,2987.0,18.33,21.9,1478.0,50.0,8730,1602,3047839.0,1330212.0,102016.0,True,99.3,11.37,42.88,4.22,138.44,False,7,183822.0,1000.0,56999898.0,1857950.0,17.92,88.91,1564349.0,4.84,0.89,21
V10043,Village_43,District_8,Madhya Pradesh,18.660378,93.199367,50.65,4.71,2628.0,25.67,24.58,747.0,41.91,38483,9574,12819639.0,4746304.0,551209.0,False,0.0,7.08,189.22,19.03,61.99,False,7,82569.0,1000.0,57597116.0,1035996.0,20.66,83.23,1478067.0,4.69,0.97,24
V10044,Village_44,District_5,Uttar Pradesh,31.69961,94.503103,50.15,5.75,2988.0,20.45,20.38,750.0,30.04,40053,11041,26292946.0,10071129.0,2096266.0,True,70.03,14.0,79.86,14.19,143.5,False,15,180728.0,1000.0,68572931.0,1492258.0,19.99,88.32,1852689.0,4.92,0.53,25
V10045,Village_45,District_1,Gujarat,15.743044,72.585177,51.94,5.21,2773.0,20.72,29.22,1059.0,24.04,833,216,380738.0,65375.0,45376.0,True,87.67,20.57,47.05,2.44,94.99,False,6,117142.0,229.8,12795944.0,313661.0,21.81,85.48,407353.0,7.7,0.51,25
V10046,Village_46,District_15,Andhra Pradesh,11.537215,72.215984,53.34,4.57,2373.0,34.37,18.84,777.0,21.29,2012,488,884075.0,383317.0,76012.0,True,91.25,16.61,29.54,3.1,113.59,False,18,156654.0,618.99,44674404.0,536801.0,23.25,77.11,925542.0,7.74,0.68,20
V10047,Village_47,District_1,Telangana,20.154997,77.686086,5.09,5.0,3107.0,24.45,21.36,1060.0,42.44,6775,1267,3426380.0,1158124.0,276181.0,True,72.32,16.64,73.35,12.92,108.99,False,10,136789.0,1000.0,66094205.0,1455675.0,23.24,90.2,1912826.0,4.78,0.89,20
V10048,Village_48,District_18,Uttar Pradesh,32.250496,80.445576,44.49,4.53,2696.0,7.97,26.8,565.0,17.55,6671,1426,2493231.0,1281812.0,142747.0,True,81.52,21.28,5.04,11.31,145.69,False,15,255279.0,1000.0,65758204.0,886237.0,22.15,76.95,1409105.0,7.08,0.79,22
V10049,Village_49,District_13,Uttar Pradesh,23.933973,74.85183,46.5,5.08,2612.0,24.79,32.3,587.0,26.6,29037,5545,18377673.0,8671862.0,1789030.0,True,81.58,11.92,69.08,2.52,64.83,False,3,109565.0,1000.0,63384509.0,1372032.0,16.0,80.03,1187133.0,8.05,0.88,22
V10050,Village_50,District_6,Rajasthan,9.237627,77.469567,1.67,5.55,2657.0,29.17,21.86,192.0,14.19,11791,2386,4091614.0,1251522.0,323552.0,True,76.19,16.17,57.31,12.05,73.76,False,14,110563.0,1000.0,56302276.0,1764904.0,18.62,83.76,1579691.0,5.97,0.94,20
V10051,Village_51,District_11,Andhra Pradesh,21.324608,73.390463,10.82,4.32,3241.0,22.76,18.87,449.0,25.59,44662,10972,17103700.0,7576016.0,523480.0,False,0.0,5.2,133.99,15.53,81.16,True,14,133123.0,1000.0,64582564.0,1607676.0,23.9,89.25,1681716.0,8.53,0.4,24
V10052,Village_52,District_1,Madhya Pradesh,11.131825,70.701017,32.84,6.37,2613.0,19.55,31.91,1635.0,33.82,1790,488,1059646.0,492102.0,52580.0,True,96.66,11.87,33.83,0.78,41.9,False,6,57242.0,762.73,46574862.0,1228133.0,19.67,77.69,1355010.0,6.9,0.93,23
V10053,Village_53,District_5,Maharashtra,26.641332,89.120682,5.12,5.13,2982.0,18.99,32.99,334.0,26.85,18591,4663,10215457.0,1943452.0,1002707.0,True,99.43,15.12,25.61,8.33,88.14,False,19,114930.0,1000.0,48676428.0,1251077.0,23.64,89.04,1970665.0,7.15,0.93,23
V10054,Village_54,District_15,Andhra Pradesh,24.068357,95.888673,33.4,4.54,2368.0,11.52,23.69,1749.0,24.8,16988,4142,6405242.0,1219368.0,301645.0,True,73.27,23.57,58.93,8.72,28.76,False,6,34879.0,1000.0,59929785.0,957483.0,23.0,82.66,1575223.0,4.82,0.79,25
V10055,Village_55,District_3,Bihar,17.433294,79.017408,2.15,5.47,2617.0,8.24,33.04,274.0,30.51,36969,7245,21115242.0,6541408.0,1656856.0,True,72.71,22.5,45.99,5.28,33.75,False,12,58159.0,1000.0,65473558.0,718309.0,16.62,88.32,1465346.0,6.07,0.3,25
V10056,Village_56,District_22,Tamil Nadu,23.013876,70.929669,18.54,4.77,3016.0,13.04,29.95,958.0,55.79,36266,8353,17433729.0,3694620.0,932979.0,True,87.49,11.97,55.49,13.6,38.76,False,8,49308.0,1000.0,57205852.0,809847.0,19.98,91.39,1589554.0,6.83,0.41,23
V10057,Village_57,District_8,Tamil Nadu,12.240105,74.101603,42.03,5.36,3073.0,33.5,27.5,1691.0,22.23,23960,4409,12737122.0,6967496.0,1106042.0,True,92.63,10.44,42.15,6.32,65.05,True,4,103370.0,1000.0,59338971.0,2074993.0,19.08,80.07,1494431.0,8.68,0.47,25
V10058,Village_58,District_28,Madhya Pradesh,34.390769,70.505639,4.02,5.87,3244.0,26.68,21.01,1579.0,48.96,21425,5160,8578998.0,3367477.0,825908.0,True,73.94,22.21,61.18,1.76,50.28,False,8,78319.0,1000.0,49082247.0,1720095.0,20.08,88.93,1912991.0,7.92,0.86,22
V10059,Village_59,District_6,Tamil Nadu,21.975227,83.328983,23.39,5.33,3070.0,9.67,22.05,935.0,53.67,24994,5373,12133225.0,5211267.0,1348375.0,True,94.04,17.76,21.78,10.43,49.55,True,19,84060.0,1000.0,71976181.0,2228174.0,19.56,89.66,1705916.0,6.27,0.52,22
V10060,Village_60,District_19,Andhra Pradesh,21.571228,71.270467,42.31,5.23,2358.0,5.07,20.52,1779.0,32.17,40285,7771,14882292.0,6185707.0,1352360.0,False,0.0,10.81,194.21,6.94,48.69,False,8,71057.0,1000.0,70981242.0,2519133.0,20.47,78.3,1529833.0,7.87,0.94,24
V10061,Village_61,District_16,Uttar Pradesh,15.403838,69.872818,6.89,4.67,3068.0,12.74,30.4,902.0,25.93,32740,6378,19245739.0,7153411.0,938944.0,True,81.91,20.13,8.49,10.17,11.73,False,6,19973.0,1000.0,63182388.0,1588081.0,17.73,89.78,1356651.0,5.92,0.75,20
V10062,Village_62,District_28,Karnataka,21.875109,96.280707,34.01,6.33,3194.0,19.5,27.67,1611.0,32.31,39964,10641,25514943.0,7465004.0,2227248.0,False,0.0,6.03,92.47,33.0,84.84,False,10,116788.0,1000.0,68885182.0,1517569.0,23.64,76.18,2080439.0,4.69,0.99,20
V10063,Village_63,District_19,Telangana,32.338245,77.222323,58.61,6.05,2826.0,20.24,24.05,1764.0,27.42,32076,6346,16468735.0,6464831.0,774115.0,True,98.08,19.43,2.15,14.92,39.97,False,4,55796.0,1000.0,56046642.0,2004114.0,19.32,80.13,1709309.0,6.14,0.41,24
V10064,Village_64,District_26,Maharashtra,18.165847,73.366384,29.13,4.79,2234.0,8.74,29.21,1027.0,54.27,1946,432,1052829.0,490737.0,41071.0,True,98.01,19.0,60.29,14.38,72.59,False,14,115630.0,621.4,39910534.0,469694.0,16.48,82.02,734254.0,5.69,0.39,23
V10065,Village_65,District_14,Bihar,20.055819,68.391253,43.06,5.38,3156.0,31.45,26.09,1397.0,58.92,24775,4664,8716384.0,3859929.0,434859.0,True,73.77,18.17,5.38,10.0,116.17,False,13,205809.0,1000.0,66132108.0,1575865.0,20.65,89.63,1817266.0,7.38,0.56,21
V10066,Village_66,District_7,Bihar,16.722507,70.524514,2.92,5.74,2223.0,26.39,19.52,776.0,55.3,1144,265,566233.0,264777.0,48357.0,True,81.19,21.05,30.58,7.08,11.82,False,0,16890.0,425.69,28233480.0,963005.0,17.3,75.96,586002.0,6.08,0.59,21
V10067,Village_67,District_6,Tamil Nadu,14.815899,92.628361,26.41,6.27,2982.0,11.91,24.28,958.0,31.74,33276,6065,12392512.0,6336965.0,697136.0,True,73.45,16.38,52.5,12.34,107.7,True,2,160538.0,1000.0,49113200.0,728612.0,22.04,89.01,2244816.0,5.75,0.66,20
V10068,Village_68,District_26,Telangana,30.234971,83.253805,28.42,4.55,2844.0,31.96,30.9,870.0,19.77,32931,8689,19009930.0,10425046.0,845630.0,True,77.59,11.14,17.71,5.79,111.04,True,4,176816.0,1000.0,66221826.0,1817579.0,16.41,77.4,1054688.0,5.56,0.31,22
V10069,Village_69,District_7,Bihar,31.656354,75.32093,37.15,4.44,2475.0,12.98,18.3,423.0,56.44,40402,11083,22556391.0,6153172.0,978399.0,True,81.18,17.63,66.48,2.51,96.8,False,9,167655.0,1000.0,58166380.0,1671462.0,19.33,75.77,1186793.0,5.07,0.66,21
V10070,Village_70,District_22,Gujarat,25.819703,91.516714,50.84,6.24,2616.0,12.95,22.72,163.0,22.96,2090,494,1356830.0,519301.0,147217.0,True,68.2,10.1,17.73,9.47,117.21,True,6,181975.0,1000.0,65556813.0,2349178.0,18.58,80.34,1699906.0,5.61,0.96,21
V10071,Village_71,District_16,Tamil Nadu,29.573818,85.276556,21.46,4.65,2825.0,15.12,20.87,1101.0,55.85,35900,7340,20457424.0,4268560.0,1206257.0,False,0.0,11.0,175.2,22.09,29.71,True,2,36787.0,1000.0,67575282.0,1621891.0,23.94,83.04,1687047.0,5.45,0.34,22
V10072,Village_72,District_9,Madhya Pradesh,25.666299,89.546621,53.29,5.61,2752.0,10.71,34.47,614.0,30.71,10398,2034,4256993.0,1958207.0,261879.0,True,84.41,22.49,46.79,11.8,36.42,False,16,47113.0,1000.0,71111603.0,978814.0,21.76,79.24,1765343.0,8.24,0.72,22
V10073,Village_73,District_13,Telangana,28.479981,91.270913,32.53,5.7,2374.0,13.35,21.19,1220.0,48.99,3155,854,1220431.0,415741.0,42014.0,False,0.0,5.24,55.54,12.98,144.59,False,14,224266.0,783.25,46628263.0,1102728.0,21.77,84.43,1497591.0,5.37,0.49,23
V10074,Village_74,District_24,Andhra Pradesh,12.064839,76.203448,55.92,6.14,3197.0,27.85,20.72,1196.0,27.86,12863,3255,8002000.0,1611629.0,385457.0,True,95.58,17.91,31.44,7.06,126.95,False,8,164431.0,1000.0,58431323.0,1552514.0,20.06,75.08,1687666.0,5.32,0.41,20
V10075,Village_75,District_14,Telangana,17.140468,80.744755,5.79,5.32,3176.0,31.96,26.42,1710.0,26.21,31267,7846,16154601.0,3252312.0,737208.0,True,66.68,13.34,48.23,0.3,98.03,True,18,127509.0,1000.0,55672599.0,1898524.0,16.18,83.31,1308730.0,7.64,0.79,24
V10076,Village_76,District_26,Rajasthan,25.224316,92.812413,40.02,6.19,2689.0,11.16,20.95,945.0,39.78,28990,8129,10329513.0,5427124.0,398918.0,True,83.7,8.93,24.5,4.28,0.92,False,8,1141.0,1000.0,66758258.0,2467248.0,19.24,82.92,1802262.0,5.59,0.93,24
V10077,Village_77,District_29,Gujarat,26.772194,88.347375,45.88,5.55,2250.0,5.4,20.46,1260.0,25.59,19523,3560,10166967.0,2848172.0,478618.0,True,97.35,14.78,33.74,12.06,0.15,False,1,223.0,1000.0,71793548.0,1927507.0,18.1,80.63,1478193.0,6.1,0.4,25
V10078,Village_78,District_9,Uttar Pradesh,32.418402,84.248695,45.21,4.48,2481.0,32.82,29.33,1234.0,28.6,12742,2764,6844376.0,3717644.0,508663.0,True,90.07,22.53,28.52,8.74,69.73,True,7,115522.0,1000.0,49731691.0,1470016.0,23.97,76.54,1500021.0,5.43,0.48,25
V10079,Village_79,District_16,Andhra Pradesh,19.577766,75.815538,24.52,5.73,3061.0,22.53,33.2,1005.0,51.07,35371,8660,18814421.0,2830630.0,1751737.0,False,0.0,3.86,242.97,26.45,24.15,False,19,30203.0,1000.0,55361876.0,1524936.0,21.8,90.49,2062883.0,8.27,0.97,25
V10080,Village_80,District_16,Rajasthan,30.889995,96.229686,21.32,4.56,2965.0,20.38,34.95,676.0,11.33,22626,4129,9127104.0,2594250.0,779427.0,False,0.0,2.39,127.75,26.67,126.03,True,14,199592.0,1000.0,60657452.0,1506953.0,23.0,88.84,1700451.0,7.84,0.92,23
V10081,Village_81,District_17,Andhra Pradesh,16.471098,69.768977,30.52,4.67,3036.0,16.5,19.76,1713.0,15.08,40240,9721,21652933.0,9799282.0,1776751.0,True,68.22,21.86,71.65,5.38,123.56,False,0,160184.0,1000.0,73248098.0,790467.0,23.56,84.17,1690100.0,7.7,0.69,22
V10082,Village_82,District_3,Karnataka,14.477335,71.68949,9.01,4.82,3231.0,24.14,26.22,249.0,35.77,15635,3807,7366983.0,2231911.0,557038.0,True,97.88,9.3,47.27,1.35,49.28,False,8,59553.0,1000.0,70633399.0,2232302.0,20.75,76.18,1390494.0,7.73,0.86,20
V10083,Village_83,District_12,Rajasthan,31.129882,94.548136,33.94,5.07,2907.0,24.04,21.36,1791.0,21.89,40193,8277,20083563.0,7504915.0,755880.0,True,77.55,17.29,40.09,6.36,149.92,False,11,245003.0,1000.0,48543167.0,1251404.0,18.6,89.44,1539273.0,7.87,0.53,20
V10084,Village_84,District_18,Uttar Pradesh,21.765022,76.405374,14.77,5.17,3064.0,12.01,23.34,1797.0,25.22,33399,6485,14519694.0,3690652.0,1011146.0,True,84.29,21.71,28.0,8.12,23.3,True,7,30846.0,1000.0,73260975.0,1120198.0,17.95,85.22,1443309.0,5.42,0.43,24
V10085,Village_85,District_28,Andhra Pradesh,15.239075,80.924922,37.94,5.79,3248.0,21.54,23.95,1389.0,45.44,10386,2787,5410150.0,1032289.0,258712.0,True,85.51,9.42,29.77,9.84,74.02,False,4,105068.0,1000.0,52568582.0,1043473.0,16.6,84.08,1474831.0,8.35,0.41,22
V10086,Village_86,District_8,Karnataka,11.980311,81.926121,9.34,5.51,2672.0,24.33,20.64,1357.0,27.49,29951,5839,15790118.0,7248603.0,1621294.0,True,72.92,12.07,14.91,12.2,13.4,False,3,21138.0,1000.0,74864482.0,1380483.0,16.53,90.0,1495994.0,4.87,0.93,22
