village_id,village_name,month,solar_irradiance,avg_temperature,days_observed
V005,Village E,11,4.75438,19.515,30
V005,Village E,12,4.638825806451613,19.07193548387097,31
V006,Village F,1,4.614980645161291,21.55806451612903,31
V006,Village F,2,5.615196428571429,24.966785714285717,28
V006,Village F,3,6.4803,27.84741935483871,31
V006,Village F,4,6.923016666666667,30.274,30
V006,Village F,5,5.440348387096774,27.240645161290324,31
V006,Village F,6,4.116466666666667,25.428333333333335,30
V006,Village F,7,3.0155451612903224,24.146129032258063,31
V006,Village F,8,3.2551580645161287,23.793548387096774,31
V006,Village F,9,3.1072100000000002,23.37933333333333,30
V006,Village F,10,4.600883870967742,23.029677419354837,31
V006,Village F,11,4.75438,19.515,30
V006,Village F,12,4.638825806451613,19.07193548387097,31
V007,Village G,1,4.614980645161291,21.55806451612903,31
V007,Village G,2,5.615196428571429,24.966785714285717,28
V007,Village G,3,6.4803,27.84741935483871,31
V007,Village G,4,6.923016666666667,30.274,30
V007,Village G,5,5.440348387096774,27.240645161290324,31
V007,Village G,6,4.116466666666667,25.428333333333335,30
V007,Village G,7,3.0155451612903224,24.146129032258063,31
V007,Village G,8,3.2551580645161287,23.793548387096774,31
V007,Village G,9,3.1072100000000002,23.37933333333333,30
V007,Village G,10,4.600883870967742,23.029677419354837,31
V007,Village G,11,4.75438,19.515,30
V007,Village G,12,4.638825806451613,19.07193548387097,31
V008,Village H,1,4.574606451612904,21.55806451612903,31
V008,Village H,2,5.587671428571428,24.966785714285717,28
V008,Village H,3,6.3178,27.84741935483871,31
V008,Village H,4,6.83632,30.274,30
V008,Village H,5,5.379896774193549,27.240645161290324,31
V008,Village H,6,4.63681,25.428333333333335,30
V008,Village H,7,3.537196774193548,24.146129032258063,31
V008,Village H,8,3.842032258064516,23.793548387096774,31
V008,Village H,9,3.3906,23.37933333333333,30
V008,Village H,10,4.573874193548387,23.029677419354837,31
V008,Village H,11,4.713556666666666,19.515,30
V008,Village H,12,4.667683870967742,19.07193548387097,31
V009,Village I,1,4.574606451612904,21.55806451612903,31
V009,Village I,2,5.587671428571428,24.966785714285717,28
V009,Village I,3,6.3178,27.84741935483871,31
V009,Village I,4,6.83632,30.274,30
V009,Village I,5,5.379896774193549,27.240645161290324,31
V009,Village I,6,4.63681,25.428333333333335,30
V009,Village I,7,3.537196774193548,24.146129032258063,31
V009,Village I,8,3.842032258064516,23.793548387096774,31
V009,Village I,9,3.3906,23.37933333333333,30
V009,Village I,10,4.573874193548387,23.029677419354837,31
V009,Village I,11,4.713556666666666,19.515,30
V009,Village I,12,4.667683870967742,19.07193548387097,31
V010,Village J,1,4.574606451612904,21.179354838709678,31
V010,Village J,2,5.587671428571428,24.909285714285716,28
V010,Village J,3,6.3178,28.256451612903227,31
V010,Village J,4,6.83632,31.601999999999997,30
V010,Village J,5,5.379896774193549,28.698064516129033,31
V010,Village J,6,4.63681,27.209666666666667,30
V010,Village J,7,3.537196774193548,25.500645161290322,31
V010,Village J,8,3.842032258064516,25.226129032258065,31
V010,Village J,9,3.3906,24.476,30
V010,Village J,10,4.573874193548387,23.978709677419356,31
V010,Village J,11,4.713556666666666,20.25,30
V010,Village J,12,4.667683870967742,19.16290322580645,31
